"drugbank_id","entrez_id","category","subcategory","ID","Description","FoldEnrichment","pvalue","p.adjust"
"DB11093","801","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection",1.88530228964534,9.59666251117239e-10,3.30238092296226e-09
"DB11093","801","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse",2.13468089938678,1.52457850581241e-09,5.04836844849203e-09
"DB11093","801","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway",1.82075723771225,1.74516228118668e-09,5.67177741385671e-09
"DB11093","801","Organismal Systems","Digestive system","hsa04970","Salivary secretion",2.3565652939467,2.80777519228433e-09,8.64499203940174e-09
"DB11093","801","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway",1.85609832918379,3.58276574364589e-09,1.07482972309377e-08
"DB11093","801","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway",2.07837037206483,3.71659059874081e-09,1.1055282204729e-08
"DB11093","801","Organismal Systems","Nervous system","hsa04720","Long-term potentiation",2.60197423059583,4.45872128687427e-09,1.31513543839737e-08
"DB11093","801","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes",2.00530629942395,5.80982266731461e-09,1.6853287241549e-08
"DB11093","801","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis",1.84376674366925,7.46216636598667e-08,1.92589734886862e-07
"DB11093","801","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway",2.13468089938678,8.01611770032327e-08,2.05376446190764e-07
"DB11093","801","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence",1.90353710773344,9.66325514571102e-08,2.42271611153184e-07
"DB11093","801","Organismal Systems","Endocrine system","hsa04924","Renin secretion",2.38218013409829,1.94298314778208e-07,4.7033592060104e-07
"DB11093","801","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway",2.04822964800975,4.61783184611156e-07,1.05938495293147e-06
"DB11093","801","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway",1.69640100458515,7.63208814059159e-05,0.000140254604049615
"DB11093","801","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway",1.52985464456053,0.00173653693419252,0.00283499750651895
"DB11093","801","Organismal Systems","Endocrine system","hsa04916","Melanogenesis",1.47948181145619,0.0132597815022009,0.0198050353500959
"DB11093","777","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway",2.80421992163539,3.98340767249574e-38,3.49544023261501e-36
"DB11093","777","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway",2.24141494435612,2.79950919210954e-23,5.4590429246136e-22
"DB11093","777","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus",3.2852890437371,9.89277607465204e-12,4.82272833639287e-11
"DB11093","773","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway",2.80421992163539,3.98340767249574e-38,3.49544023261501e-36
"DB11093","773","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling",3.17575570043,1.41294842898635e-31,9.91889797148416e-30
"DB11093","773","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation",2.52489138637146,2.50003341377816e-24,5.8500781882409e-23
"DB11093","773","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway",2.24141494435612,2.79950919210954e-23,5.4590429246136e-22
"DB11093","773","Human Diseases","Substance dependence","hsa05033","Nicotine addiction",4.37349257435341,1.55234022002175e-20,2.36900616185929e-19
"DB11093","773","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse",2.85861616091795,9.45983479866612e-19,1.18585786226136e-17
"DB11093","773","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse",2.64205433054538,3.19395176085312e-15,2.57204048393282e-14
"DB11093","773","Human Diseases","Substance dependence","hsa05032","Morphine addiction",2.62729956847604,3.80249030477648e-12,2.11853031266118e-11
"DB11093","773","Organismal Systems","Nervous system","hsa04727","GABAergic synapse",2.63037459137922,6.03794811551872e-12,3.16316386350309e-11
"DB11093","773","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus",3.2852890437371,9.89277607465204e-12,4.82272833639287e-11
"DB11093","773","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse",2.23282714763445,1.16665113484184e-09,3.9374475800912e-09
"DB11093","773","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse",2.13468089938678,1.52457850581241e-09,5.04836844849203e-09
"DB11093","773","Organismal Systems","Nervous system","hsa04730","Long-term depression",2.32443031266561,3.00680892713921e-06,6.20817607897566e-06
"DB11093","773","Organismal Systems","Sensory system","hsa04742","Taste transduction",2.08503715754058,3.0644335778859e-06,6.29015313355527e-06
"DB11093","773","Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia",1.59112789259848,0.000479212764651724,0.000824527845062524
"DB11093","846","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action",2.07899357157669,8.08923502477855e-08,2.05747934325889e-07
"DB11093","6262","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway",2.80421992163539,3.98340767249574e-38,3.49544023261501e-36
"DB11093","6262","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway",2.6667768757826,1.50354227684837e-29,7.53919055962542e-28
"DB11093","6262","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy",2.74558144945519,3.7812801309095e-29,1.65903665743654e-27
"DB11093","6262","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease",2.28216794334441,1.23079777344988e-22,2.2737369393732e-21
"DB11093","6262","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway",2.5874919992567,7.75854533082523e-19,1.00861089300728e-17
"DB11093","6262","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases",1.75369965553789,1.43770652911672e-15,1.32798682031571e-14
"DB11093","6262","Organismal Systems","Endocrine system","hsa04911","Insulin secretion",2.78004954338744,2.29267863679683e-13,1.57790235591311e-12
"DB11093","6262","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment",2.46478619310639,7.45174277086687e-11,3.07713142655797e-10
"DB11093","6262","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes",2.00530629942395,5.80982266731461e-09,1.6853287241549e-08
"DB11093","6262","Organismal Systems","Digestive system","hsa04972","Pancreatic secretion",2.19746563172169,2.77444648281694e-08,7.5490753137112e-08
"DB11093","6262","Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction",2.1183231913455,1.41433040650458e-06,3.04558265449759e-06
"DB11093","6262","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy",1.66030736618972,0.00129379936330627,0.00212207278747898
"DB11093","6262","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway",1.52985464456053,0.00173653693419252,0.00283499750651895
"DB11093","6262","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy",1.61287001287001,0.00192532932736853,0.00311424236823204
"DB11093","6262","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy",1.67961326579658,0.00203029648126317,0.00325403682613413
"DB11093","845","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway",2.80421992163539,3.98340767249574e-38,3.49544023261501e-36
"DB11093","845","Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction",2.1183231913455,1.41433040650458e-06,3.04558265449759e-06
"DB11093","9104","Metabolism","Global and overview maps","hsa01200","Carbon metabolism",3.30630173784332,1.62223290170585e-27,6.32670831665282e-26
"DB11093","9104","Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors",2.65217929923812,3.66748272953519e-20,5.36369349194521e-19
"DB11093","9104","Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism",3.37417303451459,1.126438196396e-08,3.11322682625982e-08
"DB11093","844","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway",2.80421992163539,3.98340767249574e-38,3.49544023261501e-36
"DB11093","805","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway",2.80421992163539,3.98340767249574e-38,3.49544023261501e-36
"DB11093","805","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway",2.6667768757826,1.50354227684837e-29,7.53919055962542e-28
"DB11093","805","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis",3.05169170827829,3.62438703490648e-27,1.27215984925218e-25
"DB11093","805","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway",2.5874919992567,7.75854533082523e-19,1.00861089300728e-17
"DB11093","805","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis",2.30598245304128,1.4230763567949e-18,1.72241310770692e-17
"DB11093","805","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels",2.86780363250951,1.85458850180774e-16,1.80822378926254e-15
"DB11093","805","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases",1.75369965553789,1.43770652911672e-15,1.32798682031571e-14
"DB11093","805","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease",1.84858964482979,1.50123881846421e-15,1.35111493661779e-14
"DB11093","805","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion",2.79541546348269,2.91831504270183e-15,2.43887757140082e-14
"DB11093","805","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway",2.31042772042063,1.22049983720208e-14,9.51989873017622e-14
"DB11093","805","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis",2.87360890302067,2.56536993510281e-13,1.69895254192658e-12
"DB11093","805","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction",2.37894786797333,4.10003646664041e-13,2.66502370331626e-12
"DB11093","805","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease",1.93289514272833,6.17121614141029e-13,3.9383579375182e-12
"DB11093","805","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion",2.8181532926115,2.18392833319563e-12,1.29925227957909e-11
"DB11093","805","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway",2.40744568097509,2.77571687971833e-12,1.59717479472317e-11
"DB11093","805","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction",2.88749107163429,4.43491606169101e-12,2.43227427758367e-11
"DB11093","805","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection",1.97481492894812,5.73934957013353e-12,3.05229045320738e-11
"DB11093","805","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway",2.57079850248731,1.07146668077673e-11,5.01446406603508e-11
"DB11093","805","Human Diseases","Cancer: specific types","hsa05214","Glioma",2.68707639528073,5.58127485916523e-11,2.36027406694819e-10
"DB11093","805","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment",2.46478619310639,7.45174277086687e-11,3.07713142655797e-10
"DB11093","805","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection",1.95679082443788,3.32210607379385e-10,1.18334115541694e-09
"DB11093","805","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection",1.88530228964534,9.59666251117239e-10,3.30238092296226e-09
"DB11093","805","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse",2.13468089938678,1.52457850581241e-09,5.04836844849203e-09
"DB11093","805","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway",1.82075723771225,1.74516228118668e-09,5.67177741385671e-09
"DB11093","805","Organismal Systems","Digestive system","hsa04970","Salivary secretion",2.3565652939467,2.80777519228433e-09,8.64499203940174e-09
"DB11093","805","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway",1.85609832918379,3.58276574364589e-09,1.07482972309377e-08
"DB11093","805","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway",2.07837037206483,3.71659059874081e-09,1.1055282204729e-08
"DB11093","805","Organismal Systems","Nervous system","hsa04720","Long-term potentiation",2.60197423059583,4.45872128687427e-09,1.31513543839737e-08
"DB11093","805","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes",2.00530629942395,5.80982266731461e-09,1.6853287241549e-08
"DB11093","805","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis",1.84376674366925,7.46216636598667e-08,1.92589734886862e-07
"DB11093","805","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway",2.13468089938678,8.01611770032327e-08,2.05376446190764e-07
"DB11093","805","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence",1.90353710773344,9.66325514571102e-08,2.42271611153184e-07
"DB11093","805","Organismal Systems","Endocrine system","hsa04924","Renin secretion",2.38218013409829,1.94298314778208e-07,4.7033592060104e-07
"DB11093","805","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway",2.04822964800975,4.61783184611156e-07,1.05938495293147e-06
"DB11093","805","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway",1.69640100458515,7.63208814059159e-05,0.000140254604049615
"DB11093","805","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway",1.52985464456053,0.00173653693419252,0.00283499750651895
"DB11093","805","Organismal Systems","Endocrine system","hsa04916","Melanogenesis",1.47948181145619,0.0132597815022009,0.0198050353500959
"DB11093","808","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway",2.80421992163539,3.98340767249574e-38,3.49544023261501e-36
"DB11093","808","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway",2.6667768757826,1.50354227684837e-29,7.53919055962542e-28
"DB11093","808","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis",3.05169170827829,3.62438703490648e-27,1.27215984925218e-25
"DB11093","808","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway",2.5874919992567,7.75854533082523e-19,1.00861089300728e-17
"DB11093","808","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis",2.30598245304128,1.4230763567949e-18,1.72241310770692e-17
"DB11093","808","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels",2.86780363250951,1.85458850180774e-16,1.80822378926254e-15
"DB11093","808","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases",1.75369965553789,1.43770652911672e-15,1.32798682031571e-14
"DB11093","808","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease",1.84858964482979,1.50123881846421e-15,1.35111493661779e-14
"DB11093","808","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion",2.79541546348269,2.91831504270183e-15,2.43887757140082e-14
"DB11093","808","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway",2.31042772042063,1.22049983720208e-14,9.51989873017622e-14
"DB11093","808","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis",2.87360890302067,2.56536993510281e-13,1.69895254192658e-12
"DB11093","808","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction",2.37894786797333,4.10003646664041e-13,2.66502370331626e-12
"DB11093","808","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease",1.93289514272833,6.17121614141029e-13,3.9383579375182e-12
"DB11093","808","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion",2.8181532926115,2.18392833319563e-12,1.29925227957909e-11
"DB11093","808","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway",2.40744568097509,2.77571687971833e-12,1.59717479472317e-11
"DB11093","808","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction",2.88749107163429,4.43491606169101e-12,2.43227427758367e-11
"DB11093","808","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection",1.97481492894812,5.73934957013353e-12,3.05229045320738e-11
"DB11093","808","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway",2.57079850248731,1.07146668077673e-11,5.01446406603508e-11
"DB11093","808","Human Diseases","Cancer: specific types","hsa05214","Glioma",2.68707639528073,5.58127485916523e-11,2.36027406694819e-10
"DB11093","808","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment",2.46478619310639,7.45174277086687e-11,3.07713142655797e-10
"DB11093","808","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection",1.95679082443788,3.32210607379385e-10,1.18334115541694e-09
"DB11093","808","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection",1.88530228964534,9.59666251117239e-10,3.30238092296226e-09
"DB11093","808","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse",2.13468089938678,1.52457850581241e-09,5.04836844849203e-09
"DB11093","808","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway",1.82075723771225,1.74516228118668e-09,5.67177741385671e-09
"DB11093","808","Organismal Systems","Digestive system","hsa04970","Salivary secretion",2.3565652939467,2.80777519228433e-09,8.64499203940174e-09
"DB11093","808","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway",1.85609832918379,3.58276574364589e-09,1.07482972309377e-08
"DB11093","808","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway",2.07837037206483,3.71659059874081e-09,1.1055282204729e-08
